ID,BPM,KEY,PART,TITLE,ARTIST,ORIGIN,SEASON,YEAR,TYPE,NOTES
000121,73,F# Major,,DEAREST DROP,Azusa Tadokoro,WorldEnd: What do you do at the end of the world?,,2017,Anime,
000122,84,G Major,,Eien no Labyrinth,Aoi Yuuki,My Girlfriend is ShoBitch,,2017,Anime,
000123,73,F Major,,Tsuki ga Kirei,Nao Touyama,"As The Moon, So Beautiful",,2017,Anime,
000124,82,C Major,,Detarame na Minus to Plus ni Okeru Blend Ko,BLEND-A,Blend S,,2017,Anime,
000125,71,G Major,,Deal with the devil,Tia,Kakegurui,,2017,Anime,
000126,80,C Major,,"Donna Hoshizora Yori mo, Donna Omoide Yori mo",ChouCho,A Sister's All You Need,,2017,Anime,
000127,"82.5, 82.5","D# Major, A# Major","Verse, Chorus",Hitorigoto,ClariS,Eromanga Sensei,,2017,Anime,
000128,71.5,C Major,,Ryuusei,Eir Aoi,Sword Art Online Alternative: Gun Gale Online,,2018,Anime,
000129,72,G# Major,,katharsis,TK from Ling tosite sigure,Tokyo Ghoul:re,,2018,Anime,
000130,84.5,A Major,,Hikari e,FranChouChou,ZOMBIELAND SAGA,,2018,Anime,
000131,85,E Major,,Another colony,TRUE,Kakuriyo: Bed & Breakfast for Spirits,,2018,Anime,
000132,83.5,G Major,,Momoiro Typhoon,Luna Haruna,Yuuna and the Haunted Hot Springs,,2018,Anime,
000133,"86.5, 86.5, 86.5","D Major, F Major, A Major","Verse, Chorus, Bridge",Darling,XX:me,Darling in the FranXX,,2018,Anime,
000134,84,A# Major,,Love Song,Iwami Manaka,Tada Never Falls in Love,,2018,Anime,
000135,"72, 72","D Major, F Major","Verse, Chorus",Sincerely,TRUE,Violet Evergarden,,2018,Anime,
000136,70,C Major,,Itsuka Sekai ga,Iida Riho,Boarding School Juliet,,2018,Anime,
000137,71,F# Major,,POP TEAM EPIC,Sumire Uesaka,Pop Team Epic,,2018,Anime,
000138,"86, 86","D# Major, C Major","Verse, Chorus",Adabana Necromancy,FranChouChou,ZOMBIELAND SAGA,,2018,Anime,
000139,79,D Major,,Otomodachi Film,Masayoshi Oishi,Tada Never Falls in Love,,2018,Anime,
000140,"80, 80, 80","F# Major, A Major, F# Major","Verse, Prechorus, Chorus",SWITCH,Minami,High School DxD Hero,,2018,Anime,
000141,"81, 81, 81","E Major, D Major, E Major","Intro, Verse, Chorus",Korekara,Machico,The Ryuo's Work is Never Done!,,2018,Anime,
000142,87,E Major,,Kimi no Sei,the peggies,Rascal Does Not Dream of Bunny Girl Senpai,,2018,Anime,
000143,74,C Major,,Isekai Quartet,"Satoshi Hino, Jun Fukushima, Yuusuke Kobayashi, Aoi Yuuki",Isekai Quartet,,2019,Anime,
000144,80,F Major,,"Can Now, Can Now",Study,We Never Learn,,2019,Anime,
000145,71,A Major,,Is There Still Anything That Love Can Do,RADWIMPS,Weathering With You,,2019,Anime,
000146,84.5,D Major,,Ringoiro Memories,"Yuuko Goto, Shizuka Ishigami, Sumire Uesaka, Nozomi Yamamoto","Why the Hell are You Here, Teacher!?",,2019,Anime,
000147,75,D# Major,,veil,Keina Suda,Fire Force,,2019,Anime,
000148,86.5,D Major,,TIT FOR TAT,MYTH & ROID,The Hero is Overpowered but Overly Cautious,,2019,Anime,
000149,74,F Major,,forget-me-not,ReoNa,Sword Art Online: Alicization,,2019,Anime,
000150,77,C# Major,,Zero Centimeters,Yuiko Ohara,Teasing Master Takagi-san: Season 2,,2019,Anime,
000151,78,D# Major,,FAITH,MADKID,The Rising of the Shield Hero: Season 2,,2019,Anime,
000152,86,E Major,,Otome domo yo,CHiCO with HoneyWorks,Kaguya-sama: Love is War,,2019,Anime,
000153,77,A Major,,Chime,Ai Otsuka,Fruits Basket (2019),,2019,Anime,
000154,80,F# Major,,HELLO to DREAM,Yuka Iguchi,Is It Wrong to Try to Pick Up Girls in a Dungeon?: Season 2,,2019,Anime,
000155,86.5,C# Major,,Meguru Mono,Takuma Terashima,That Time I Got Reincarnated as a Slime,,2019,Anime,
000156,82.5,D Major,,RISE,MADKID,The Rising of the Shield Hero,,2019,Anime,
000157,73,E Major,,Grand Escape,RADWIMPS,Weathering With You,,2019,Anime,
000158,85,D Major,,Kaen,Ziyoou-vachi,Dororo,,2019,Anime,
