ID,BPM,KEY,PART,TITLE,ARTIST,ORIGIN,SEASON,YEAR,TYPE,NOTES
K00192,91,E Major,,Hear The Sea,RED VELVET,The Red Summer,Summer,2017,KPop,
K00193,91,G# Major,,Diamond,Red Velvet-IRENE & SEULGI,Monster,Summer,2020,KPop,
K00194,91,C Major,,Is this bad b***** number?,SOYEON & BIBI & Lee Young Ji,Windy,Summer,2021,KPop,
K00195,91,G Major,,KINGDOM COME,THE BOYZ,KINGDOM <FINAL : WHO IS THE KING?>,Spring,2021,KPop,
K00196,91,A# Major,,WOLF BABY,TRCNG,WHO AM I,Winter,2018,KPop,
K00197,91,E Major,,Good at Love,TWICE,Perfect World,Summer,2021,KPop,
K00198,91,B Major,,Low Low,WayV-TEN&YANGYANG,Low Low,Summer,2021,KPop,
K00199,92,G Major,,Uh-Oh,(G)I-DLE,Uh-Oh,Spring,2019,KPop,
K00200,92,D# Major,,Forever,aespa,Forever,Winter,2021,KPop,
K00201,92,A# Major,,Better,BoA,Better,Fall,2020,KPop,
K00202,92,C Major,,Coffee,BTS,"O!RUL8,2?",Summer,2013,KPop,
K00203,92,D# Major,,Make a Wish,CHUNG HA,Hands on Me,Spring,2017,KPop,
K00204,92,B Major,,SPICY,CL,ALPHA,Summer,2021,KPop,
K00205,92,D# Major,,Heaven,EXO,EX'ACT,Spring,2016,KPop,
K00206,92,D# Major,,For Life,EXO,For Life,Fall,2016,KPop,
K00207,92,E Major,,Knock Knock Knock,I.O.I,Chrysalis,Spring,2016,KPop,
K00208,92,D Major,,Flu,IU,LILAC,Winter,2021,KPop,
K00209,92,C Major,,ONLY ONE,JBJ95,ONLY ONE,Fall,2019,KPop,
K00210,92,D Major,,NO ONE (feat. B.I),LeeHi,24℃,Spring,2019,KPop,
K00211,92,G# Major,,Don't,Loco & Hwa Sa,The Hyena on the Keyboard,Spring,2018,KPop,
K00212,92,C Major,,Twilight,LOONA,Kim Lip,Spring,2017,KPop,
K00213,92,F# Major,,Egoist,LOONA,Olivia Hye,Winter,2018,KPop,
K00214,92,G Major,,Moonlight,Lovelyz,Queendom < FINAL Comeback >,Fall,2019,KPop,
K00215,92,C Major,,MIDDLE OF THE NIGHT,Monsta X,ALL ABOUT LUV,Fall,2019,KPop,
K00216,92,C# Major,,Dancing In The Rain,NCT U,NCT Resonance Pt. 1,Fall,2020,KPop,
K00217,92,A Major,,Little Little,RED VELVET,Rookie,Winter,2017,KPop,
K00218,92,A# Major,,everythingoes (with NELL),RM,mono.,Fall,2018,KPop,
K00219,92,D# Major,,Oh My!,SEVENTEEN,YOU MAKE MY DAY,Summer,2018,KPop,
K00220,92,C# Major,,My Universe,Stray Kids,IN LIFE,Summer,2020,KPop,
K00221,92,C Major,,Teach You,Tiffany Young,Teach You,Summer,2018,KPop,
K00222,92,D# Major,,Sweet Night,V,ITAEWON CLASS (Original Television Soundtrack) Pt. 12,Winter,2020,KPop,
K00223,92,F Major,,Chained Up,VIXX,Chained Up,Fall,2015,KPop,
K00224,92,C# Major,,Let Me Love You,WayV,Take Off,Spring,2019,KPop,
K00225,92,G# Major,,FEEL LIKE,WOODZ,SET,Winter,2021,KPop,
K00226,92,A Major,,I Want U Around,YUGYEOM & DeVita,Point Of View: U,Spring,2021,KPop,
K00227,92,F Major,,Watermelon,SOMI,XOXO,Fall,2021,KPop,
K00228,93,E Major,,Make it,2PM,MUST,Spring,2021,KPop,
K00229,93,C Major,,FEVER,ATEEZ,ZERO : FEVER Part.1,Summer,2020,KPop,
K00230,93,C# Major,,Friend,BTOB,HOUR MOMENT,Fall,2018,KPop,
K00231,93,F# Major,,Show Your Love,BTOB 4U,INSIDE,Fall,2020,KPop,
K00232,93,C# Major,,Miss Right,BTS,Skool Luv Affair (Special Edition),Spring,2014,KPop,
K00233,93,D# Major,,Blood Sweat & Tears,BTS,Wings,Fall,2016,KPop,
K00234,93,D# Major,,MAMA,BTS,Wings,Fall,2016,KPop,
K00235,93,G Major,,Offset,CHUNG HA,Offset,Winter,2018,KPop,
K00236,93,C# Major,,No Oh No,CLC,Nu.Clear,Spring,2016,KPop,
K00237,93,G# Major,,My Turn,CRAVITY,HIDEOUT: BE OUR VOICE - SEASON 3.,Winter,2021,KPop,
K00238,93,G# Major,,D+1,EVERGLOW,ARRIVAL OF EVERGLOW,Winter,2019,KPop,
K00239,93,D Major,,VO!D,Hyunjun Hur,VO!D,Spring,2021,KPop,
K00240,93,A Major,,Hello,JOY,Hello - Special Album,Spring,2021,KPop,
K00241,93,C# Major,,Don't Recall,KARD,Don't Recall,Winter,2017,KPop,
K00242,93,F Major,,Bird,Kim NamJoo,Bird,Summer,2020,KPop,
K00243,93,E Major,,Turn It On,LABOUM,I'M YOURS,Fall,2018,KPop,
K00244,93,F Major,,HOW R U TODAY ,N.Flying,HOW ARE YOU?,Spring,2018,KPop,
K00245,93,G# Major,,Touch,NCT 127,NCT 2018 Empathy,Winter,2018,KPop,
K00246,93,F Major,,Dear DREAM,NCT DREAM,We Go Up,Summer,2018,KPop,
K00247,93,D# Major,,Candle Light,NCT DREAM,Candle Light,Fall,2018,KPop,
K00248,93,D Major,,SIREN,P1Harmony,DISHARMONY : STAND OUT,Fall,2020,KPop,
K00249,93,A Major,,Runaway,PENTAGON,DEMO_02,Fall,2017,KPop,
K00250,93,D# Major,,Oh Little Girl,PRODUCE 101,35 Boys 5 Concepts,Spring,2017,KPop,
K00251,93,G Major,,Paradise,SIYEON,Dystopia: The Tree of Language,Winter,2020,KPop,
K00252,93,A# Major,,I'LL BE THERE,STAYC,STEREOTYPE,Summer,2021,KPop,
K00253,93,G Major,,Mirror,Stray Kids,I am NOT,Winter,2018,KPop,
K00254,93,D# Major,,She's in the Rain,THE ROSE,Dawn,Fall,2018,KPop,
K00255,93,G# Major,,Next Page,TWICE,TWICEcoaster: Lane 1,Fall,2016,KPop,
K00256,93,A Major,,Dream Launch,WayV,The Vision,Winter,2019,KPop,
K00257,93,A# Major,,Espresso,TWICE,Formula of Love: O+T=<3,Fall,2021,KPop,
K00258,94,D Major,,So Far Away (feat. Suran),Agust D,Agust D,Summer,2016,KPop,
K00259,94,G# Major,,Good Luck,AOA,Good Luck,Spring,2016,KPop,
K00260,94,G# Major,,Not Too Late,ATEEZ,ZERO : FEVER Part.3,Summer,2021,KPop,
K00261,94,F Major,,Spine Breaker,BTS,Skool Luv Affair,Winter,2014,KPop,
K00262,94,A Major,,Lie,BTS,Wings,Fall,2016,KPop,
K00263,94,F Major,,Pied Piper,BTS,Love Yourself 承 Her,Summer,2017,KPop,
K00264,94,G# Major,,Bad Habits,CRAVITY,HIDEOUT: BE OUR VOICE - SEASON 3.,Winter,2021,KPop,
K00265,94,D# Major,,instagram,DEAN,instagram,Fall,2017,KPop,
K00266,94,E Major,,Jazz Bar,DREAMCATCHER,Dystopia: The Tree of Language,Winter,2020,KPop,
K00267,94,A# Major,,XOXO,EXO,XOXO (Repackage),Summer,2013,KPop,
K00268,94,C Major,,Girl X Friend,EXO,SING FOR YOU,Fall,2015,KPop,
K00269,94,E Major,,Just as usual,EXO,DON'T FIGHT THE FEELING,Spring,2021,KPop,
K00270,94,D Major,,Confession Song,GOT7,MAD (Winter Edition),Fall,2015,KPop,
K00271,94,A Major,,I'm bad too,Hwa Sa,María,Spring,2020,KPop,
K00272,94,D Major,,Mystery,HYO,Mystery,Fall,2016,KPop,
K00273,94,G# Major,,My Type,iKON,WELCOME BACK,Summer,2015,KPop,
K00274,94,C Major,,Stay Beautiful,JAMIE,Stay Beautiful,Summer,2019,KPop,
K00275,94,F Major,,Summer Storm,Jessica,My Decade,Summer,2017,KPop,
K00276,94,A Major,,IYAH,KANG SEUNGYOON,PAGE,Winter,2021,KPop,
K00277,94,G# Major,,CLICK CLICK,Kang xiwon,CLICK CLICK,Spring,2019,KPop,
K00278,94,F Major,,Missing Call (feat. SURAN),LUCY,PANORAMA,Summer,2020,KPop,
K00279,94,E Major,,Once Again,NCT 127,NCT #127,Summer,2016,KPop,
K00280,94,F Major,,Welcome to My Playground,NCT 127,NCT #127 Regulate,Fall,2018,KPop,
K00281,94,A# Major,,Ugly Dance,ONF,City of ONF,Spring,2021,KPop,
K00282,94,G# Major,,Critical Beauty,PENTAGON,CEREMONY,Spring,2017,KPop,
K00283,94,C Major,,Oh Boy,RED VELVET,The Red,Summer,2015,KPop,
K00284,94,G Major,,Bad Dracula,RED VELVET,Russian Roulette,Summer,2016,KPop,
K00285,94,D# Major,,Would U,RED VELVET,Would U,Winter,2017,KPop,
K00286,94,F# Major,,Gashina,SUNMI,Gashina,Summer,2017,KPop,
K00287,94,B Major,,Starlight (feat. DEAN),TAEYEON,Why,Spring,2016,KPop,
K00288,94,A# Major,,Heartbreak Hotel,Tiffany Young & Simon Dominic,Heartbreak Hotel,Spring,2016,KPop,
K00289,94,G Major,,Don't Call Me Again,TWICE,MORE & MORE,Spring,2020,KPop,
K00290,94,C# Major,,Sandglass (Prod. Heize),Wanna One,1÷x=1 (UNDIVIDED),Spring,2018,KPop,
K00291,94,F Major,,Into You,YURI,The First Scene,Fall,2018,KPop,
K00292,94,B Major,,PANG!,SEVENTEEN,Attacca,Fall,2021,KPop,
K00293,95,E Major,,ONLY YOU,24K,ADDICTION,Spring,2017,KPop,
K00294,95,E Major,,Lonely,2NE1,2NE1 2nd Mini Album,Summer,2011,KPop,
K00295,95,G Major,,YESSIR,3YE,TRIANGLE,Spring,2020,KPop,
K00296,95,C Major,,PRESENTE,777 (TRIPLE SEVEN),PRESENTE,Summer,2021,KPop,
K00297,95,C Major,,give it to me,Agust D,Agust D,Summer,2016,KPop,
K00298,95,F Major,,ONE,ASTRO,All Yours,Spring,2021,KPop,
K00299,95,G# Major,,Aurora,ATEEZ,TREASURE EP.3: One To All,Spring,2019,KPop,
K00300,95,F Major,,ROCKY,ATEEZ,ZERO : FEVER Part.3,Summer,2021,KPop,
K00301,95,F Major,,ONE SHOT,B.A.P,ONE SHOT,Winter,2013,KPop,
K00302,95,E Major,,FLOWER ROAD,BIGBANG,FLOWER ROAD,Winter,2018,KPop,
K00303,95,G Major,,Outsider,BTOB 4U,4U:Outside,Summer,2021,KPop,
K00304,95,F# Major,,Intro: 2 Cool 4 Skool,BTS,2 Cool 4 Skool,Spring,2013,KPop,
