SECTION_ID,SONG_ID,PART,BPM,KEY,SECTION_ORDER
651,442,Verse,138.0,A Major,1
652,442,Prechorus,138.0,C Major,2
653,442,Chorus,138.0,C Major,3
654,443,Full Song,112.5,A Major,1
655,444,Full Song,73.5,D Major,1
656,445,Full Song,79.0,D Major,1
657,446,Verse,90.0,C Major,1
658,446,Prechorus,90.0,D# Major,2
659,446,Chorus,90.0,F# Major,3
660,447,Full Song,77.5,G Major,1
661,448,Full Song,73.0,A Major,1
662,449,Full Song,97.0,D# Major,1
663,450,Verse,103.0,D Major,1
664,450,Chorus,103.0,A Major,2
665,451,Full Song,73.5,A# Major,1
666,452,Full Song,85.5,B Major,1
667,453,Verse,130.0,F# Major,1
668,453,Chorus,130.0,A Major,2
669,454,Verse,87.5,B Major,1
670,454,Prechorus,87.5,D Major,2
671,454,Chorus,87.5,F Major,3
672,455,Full Song,84.0,C# Major,1
673,456,Full Song,78.0,G Major,1
674,457,Full Song,78.0,F Major,1
675,458,Verse,88.0,F# Major,1
676,458,Prechorus,88.0,D# Major,2
677,458,Chorus,88.0,F# Major,3
678,459,Verse,87.0,B Major,1
679,459,Prechorus,89.0,B Major,2
680,459,Chorus,90.0,B Major,3
681,460,Verse,86.0,E Major,1
682,460,Chorus,86.0,C Major,2
683,461,Full Song,88.5,C Major,1
684,462,Full Song,82.0,A# Major,1
685,463,Verse,100.0,G Major,1
686,463,Chorus,100.0,A Major,2
687,464,Verse,108.0,G# Major,1
688,464,Chorus,108.0,B Major,2
689,465,Full Song,130.0,G Major,1
690,466,Verse,88.0,G# Major,1
691,466,Chorus,88.0,F Major,2
692,467,Verse,94.0,A Major,1
693,467,Prechorus,94.0,D Major,2
694,467,Chorus,94.0,D Major,3
695,468,Full Song,71.5,A Major,1
696,469,Verse,105.0,B Major,1
697,469,Chorus,105.0,G# Major,2
698,470,Full Song,71.0,C# Major,1
699,471,Full Song,92.4,D Major,1
700,472,Full Song,131.0,G Major,1
701,473,Full Song,135.0,D# Major,1
702,474,Full Song,126.0,C# Major,1
703,475,Full Song,78.0,D# Major,1
704,476,Full Song,128.0,F Major,1
705,477,Full Song,120.0,D# Major,1
