ID,PART,KEY,BPM,TITLE,ORIGIN,ARTIST,SEASON,YEAR,TYPE,NOTES
000035,,A Major,80,DAYS of DASH,The Pet Girl of Sakurasou,Konomi Suzuki,,2012,Anime,
000036,"Intro, Verse, Prechorus, Chorus, Bridge","G# Major, F Major, G# Major, G# Major, A Major","83.5, 83.5, 83.5, 83.5, 83.5",Reason why XXX,"So, I Can't Play H!",Sasaki Sayaka,,2012,Anime,
000037,,D# Major,79.5,Platinum 17,"So, I Can't Play H!",yozuca*,,2012,Anime,
000038,,D Major,73,Kamisama Hajime,Kamisama Kiss,Hanae,,2012,Anime,
000039,,E Major,75.5,Little Busters,Little Busters!,Rita,,2012,Anime,
000040,,A# Major,80,abnormalize,Psycho-Pass,Ling Tosite Sigure,,2012,Anime,
000041,"Verse, Chorus","C Major, D# Major","80, 80",Nippon Egao Hyakk,Joshiraku,Momoiro Clover Z,,2012,Anime,
000042,"Verse, Chorus","E Major, G Major","74, 74",Burst the Gravity,Accel World,ALTIMA ,,2012,Anime,
000043,,G# Major,83,Above your hand,Sankarea,Annabel,,2012,Anime,
000044,"Verse, Chorus, Bridge","D Major, D Major, D# Major","80, 80, 80",Paradigm,Kokoro Connect,Eufonius,,2012,Anime,
000045,,A# Major,73,Sono Chi no Sadame,JoJo's Bizarre Adventure (2012),Hiroaki TOMMY Tominaga,,2012,Anime,
000046,,D# Major,72.5,Kyoumu Densen,Another,ALI PROJECT,,2012,Anime,
000047,,D# Major,81,Yumesekai,Sword Art Online,Haruka Tomatsu,,2012,Anime,
000048,,F Major,82.5,Yukitoki,My Teen Romantic Comedy SNAFU,Nagi Yanagi,,2013,Anime,
000049,,F Major,70.5,Golden Time,Golden Time,Yui Horie,,2013,Anime,
000050,,D Major,75,The Other self,Kuroko no Basket,GRANRODEO,,2013,Anime,
000051,,G Major,82.5,Girlish Lover,Oreshura,Mizukara wo Enshutsu Suru Otome no Kai,,2013,Anime,
000052,,F# Major,75,May I Help You?,Servant x Service,"Ai Kayano, Mai Nakahara, Aki Toyosaki",,2013,Anime,
000053,"Verse A, Verse B, Prechorus, Chorus","C Major, D Major, E Major, C Major","85.5, 85.5, 85.5, 85.5",Dramatic Market Ride,Tamako Market,Aya Suzaki,,2013,Anime,
000054,,A Major,85,"Baby Sweet, Berry Sweet","The ""Hentai"" Prince and the Stony Cat.",Yui Ogura,,2013,Anime,
000055,,F Major,82,Mukaikaze,Maoyuu Maou Yuusha,YOHKO,,2013,Anime,
000056,,A Major,85,Daisy,Beyond the Boundary,STEREO DIVE FOUNDATION,,2013,Anime,
000057,,A Major,83,Kimi ga Emu Yuugure,Tokyo Ravens,Yoshino Nanjo,,2014,Anime,
000058,"Intro, Verse, Prechorus, Chorus","C Major, D# Major, C Major, C Major","77.5, 77.5, 77.5, 77.5",Rakuen no Tsubasa,The Fruit of Grisaia,Maon Kurosaki,,2014,Anime,
000059,,D Major,84,Niji no Oto,Sword Art Online: Extra Edition,Eir Aoi,,2014,Anime,
000060,"Verse, Chorus","C# Major, D# Major","84, 84",I swear,Date A Live II,Sweet ARMS,,2014,Anime,
000061,,G Major,86,Orange,Your Lie in April,7!!,,2014,Anime,
000062,,G# Major,82.5,LOVE GOOD TIME,Wolf Girl and Black Prince,SpecialThanks,,2014,Anime,
000063,,A Major,77,KOI NO UTA,Tamako Love Story,Keiji Fujiwara,,2014,Anime,
000064,,D# Major,71,"Kyouran, Hey Kids!!",Noragami Aragoto,THE ORAL CIGARETTES,,2014,Anime,
000065,,G# Major,70,Ah Yeah!,Haikyuu!! Season 2,Sukima Switch,,2014,Anime,
000066,,C Major,84,Rashisa,Rashisa,SUPER BEAVER,,2014,Anime,
000067,,G Major,85,Tomadoi Recipe,Engaged to the Unidentified,Mikakuning!,,2014,Anime,
000068,,C Major,85.5,IGNITE,Sword Art Online II,Eir Aoi,,2014,Anime,
000069,,A Major,87,Q&A,Date A Live II,"Marina Inoue, Saeko Zougou",,2014,Anime,
000070,,A Major,80,Hikaru Nara,Your Lie in April,Goose house,,2014,Anime,
000071,"Verse, Prechorus, Chorus","E Major, G Major, G Major","73.5, 73.5, 73.5",This game,"No Game, No Life",Konomi Suzuki,,2014,Anime,
000072,,D# Major,75,Daydream Café,Is the Order a Rabbit?,Petit Rabbit's,,2014,Anime,
000073,,D Major,80,Netsuju no Spectrum,The Seven Deadly Sins,Ikimono-gakari,,2014,Anime,
000074,"Intro, Verse, Chorus","A# Major, C# Major, A# Major","77.5, 77.5, 77.5",black bullet,Black Bullet,fripSide,,2014,Anime,
000075,,G Major,73,STEP,Nisekoi: False Love,ClariS,,2014,Anime,
000076,"Intro, Verse, Chorus","F Major, D Major, F Major","77.5, 77.5, 77.5",Nanairo Symphony,Your Lie in April,Coalamode,,2014,Anime,
000077,"Verse, Chorus, Bridge, Last Chorus","D# Major, D# Major, F# Major, F# Major","75, 75, 75, 75",Kanade,One Week Friends,Sora Amamiya,,2014,Anime,
000078,,F Major,76.5,Colorful,Saekano: How to Raise a Boring Girlfriend,Miku Sawai,,2015,Anime,
000079,,G Major,82,Kuchizuke Diamond,Yamada-kun and the Seven Witches,WEAVER,,2015,Anime,
000080,,C# Major,80,Candy Magic,Yamada-kun and the Seven Witches,MimimemeMIMI,,2015,Anime,
000081,,D Major,77,Everyday World,My Teen Romantic Comedy SNAFU,"Saori Hayami, Nao Toyama",,2015,Anime,
000082,"Verse, Chorus","F Major, G# Major","75, 75",Bravely You,Charlotte,Lia,,2015,Anime,
000083,,E Major,79,No Poi!,Is the Order a Rabbit??,Petit Rabbit's,,2015,Anime,
000084,,D Major,82.5, -toward the truth- ,Seraph of the End,fripSide,,2015,Anime,
000085,,G# Major,85.5,Brave Shine,Fate/stay night: Unlimited Blade Works,Aimer,,2015,Anime,
000086,,D Major,87,Harumodoki,My Teen Romantic Comedy SNAFU TOO!,nagi yanagi,,2015,Anime,
000087,,D# Major,70,Akatsuki no Hana,Yona of the Dawn,Cyntia,,2015,Anime,
000088,,D# Major,79.5,Season,The Seven Deadly Sins,Alisa Takigawa,,2015,Anime,
000089,,G Major,79.5,Yasashii Kibou,Snow White with the Red Hair,Saori Hayami,,2015,Anime,
000090,"Intro, Verse","D# Major, D# Major","74, 79",Ring of Fortune,Plastic Memories,Eri Sasaki,,2015,Anime,
000091,,A# Major,83,Miraikei Answer,My Love Story!!,TRUSTRICK,,2015,Anime,
000092,,D Major,80,Hello shooting star,Assassination Classroom,Moumoon,,2015,Anime,
000093,,C Major,75.5,B Chiku Sentai SOX,Shimoneta: A Boring World Where the Concept of Dirty Jokes Doesn't Exist,SOX,,2015,Anime,
000094,,E Major,85,Umarun Taisou,Himouto! Umaru-chan,"Aya Suzaki, Yumiri Hanamori, Rumi Ookubo, Haruka Shiraishi",,2015,Anime,
000095,,F# Major,82,Kimiiro Signal,Saekano: How to Raise a Boring Girlfriend,Luna Haruna,,2015,Anime,
000096,"Verse, Chorus","C Major, A Major","85, 85",Tokimeki Poporon,Is the Order a Rabbit?,"Inori Minase, Sora Tokui, Rie Murakawa",,2015,Anime,
000097,,G# Major,70,Stay Alive,Re:Zero − Starting Life in Another World,Rie Takahashi,,2016,Anime,
000098,,F# Major,82,Koi wo Shita no wa,A Silent Voice,Aiko,,2016,Anime,
000099,,D Major,75,Knew day,"Grimgar, Ashes and Illusions",(k)NoW_NAME,,2016,Anime,
000100,,A# Major,71.5,The Asterisk War,The Asterisk War: Season 2,Shiena Nishizawa,,2016,Anime,
000101,"Intro, Verse, Chorus","F Major, G Major, F Major","82.5, 82.5, 82.5",Daisuki dayo,Momokuri,"Ai Kakuma, Nobuhiko Okamoto",,2016,Anime,
000102,,F# Major,84,99.9,Mob Psycho 100 II,MOB CHOIR feat. sajou no hana,,2016,Anime,
000103,,G# Major,73,Shirushi,Sword Art Online: Season 2,LiSA,,2016,Anime,
000104,,C Major,79,Chiisana Boukensha,KONOSUBA: God's blessing on this wonderful world!,"Inori Minase, Sora Amamiya, Rie Takahashi",,2016,Anime,
000105,,F# Major,85,Great Days,JoJo's Bizarre Adventure: Diamond is Unbreakable,"Karen Aoki, Daisuke Hasegawa",,2016,Anime,
000106,,E Major,77.5,Re: Re:,ERASED: Boku dake ga Inai Machi,ASIAN KUNG-FU GENERATION,,2016,Anime,
000107,,E Major,71,Kaze no Uta,Tales of Zestiria the X,FLOW,,2016,Anime,
000108,,D Major,85,7 -seven-,The Seven Deadly Sins,FLOW x GRANRODEO,,2016,Anime,
000109,,F Major,70.5,LAY YOUR HANDS ON ME,Kiznaiver,Boom Boom Satellites,,2016,Anime,
000110,,E Major,77,Sekai wa Kyou mo Atarashii,Girls Beyond the Wasteland,Kana Hanazawa,,2016,Anime,
000111,,G Major,70,Steppin' Out,Durarara!!x2 Ketsu,FLOW,,2016,Anime,
000112,"Verse, Chorus","E Major, F Major","70, 70",Ima Koko,"As The Moon, So Beautiful",Nao Touyama,,2017,Anime,
000113,,F# Major,74,Akane Sasu,Natsume's Book of Friends,Aimer,,2017,Anime,
000114,"Verse, Chorus, Postchorus","A Major, C Major, D# Major","80, 80, 80",Shinzou wo Sasageyo,Attack on Titan: Season 2,Linked Horizon,,2017,Anime,
000115,"Verse, Chorus, Last Chorus","F Major, F Major, F# Major","76, 76, 76",Bon Appetit S,Blend S,"Azumi Waki, Akari Kito, Anzu Haruno",,2017,Anime,
000116,,F# Major,85,Sen no Tsubasa,Re:Hamatora,livetune adding Takuro Sugawara (from 9mm Parabellum Bullet),,2017,Anime,
000117,,G Major,85,Nimensei☆Uraomote,Himouto! Umaru-chan: 2nd Season,Aimi Tanaka,,2017,Anime,
000118,,F Major,71,Kanashii Ureshii,Love & Lies,frederic,,2017,Anime,
000119,"Intro, Verse, Chorus","E Major, C# Major, G Major","78, 78, 78",Caste Room,Classroom of the Elite,ZAQ,,2017,Anime,
000120,,G Major,70,Hope,One Piece,Namie Amuro,,2017,Anime,
000121,,F# Major,73,DEAREST DROP,WorldEnd: What do you do at the end of the world?,Azusa Tadokoro,,2017,Anime,
000122,,G Major,84,Eien no Labyrinth,My Girlfriend is ShoBitch,Aoi Yuuki,,2017,Anime,
000123,,F Major,73,Tsuki ga Kirei,"As The Moon, So Beautiful",Nao Touyama,,2017,Anime,
000124,,C Major,82,Detarame na Minus to Plus ni Okeru Blend Ko,Blend S,BLEND-A,,2017,Anime,
000125,,G Major,71,Deal with the devil,Kakegurui,Tia,,2017,Anime,
000126,,C Major,80,"Donna Hoshizora Yori mo, Donna Omoide Yori mo",A Sister's All You Need,ChouCho,,2017,Anime,
000127,"Verse, Chorus","D# Major, A# Major","82.5, 82.5",Hitorigoto,Eromanga Sensei,ClariS,,2017,Anime,
000128,,C Major,71.5,Ryuusei,Sword Art Online Alternative: Gun Gale Online,Eir Aoi,,2018,Anime,
000129,,G# Major,72,katharsis,Tokyo Ghoul:re,TK from Ling tosite sigure,,2018,Anime,
000130,,A Major,84.5,Hikari e,ZOMBIELAND SAGA,FranChouChou,,2018,Anime,
000131,,E Major,85,Another colony,Kakuriyo: Bed & Breakfast for Spirits,TRUE,,2018,Anime,
000132,,G Major,83.5,Momoiro Typhoon,Yuuna and the Haunted Hot Springs,Luna Haruna,,2018,Anime,
000133,"Verse, Chorus, Bridge","D Major, F Major, A Major","86.5, 86.5, 86.5",Darling,Darling in the FranXX,XX:me,,2018,Anime,
000134,,A# Major,84,Love Song,Tada Never Falls in Love,Iwami Manaka,,2018,Anime,
000135,"Verse, Chorus","D Major, F Major","72, 72",Sincerely,Violet Evergarden,TRUE,,2018,Anime,
000136,,C Major,70,Itsuka Sekai ga,Boarding School Juliet,Iida Riho,,2018,Anime,
000137,,F# Major,71,POP TEAM EPIC,Pop Team Epic,Sumire Uesaka,,2018,Anime,
000138,"Verse, Chorus","D# Major, C Major","86, 86",Adabana Necromancy,ZOMBIELAND SAGA,FranChouChou,,2018,Anime,
000139,,D Major,79,Otomodachi Film,Tada Never Falls in Love,Masayoshi Oishi,,2018,Anime,
000140,"Verse, Prechorus, Chorus","F# Major, A Major, F# Major","80, 80, 80",SWITCH,High School DxD Hero,Minami,,2018,Anime,
000141,"Intro, Verse, Chorus","E Major, D Major, E Major","81, 81, 81",Korekara,The Ryuo's Work is Never Done!,Machico,,2018,Anime,
000142,,E Major,87,Kimi no Sei,Rascal Does Not Dream of Bunny Girl Senpai,the peggies,,2018,Anime,
000143,,C Major,74,Isekai Quartet,Isekai Quartet,"Satoshi Hino, Jun Fukushima, Yuusuke Kobayashi, Aoi Yuuki",,2019,Anime,
000144,,F Major,80,"Can Now, Can Now",We Never Learn,Study,,2019,Anime,
000145,,A Major,71,Is There Still Anything That Love Can Do,Weathering With You,RADWIMPS,,2019,Anime,
000146,,D Major,84.5,Ringoiro Memories,"Why the Hell are You Here, Teacher!?","Yuuko Goto, Shizuka Ishigami, Sumire Uesaka, Nozomi Yamamoto",,2019,Anime,
000147,,D# Major,75,veil,Fire Force,Keina Suda,,2019,Anime,
000148,,D Major,86.5,TIT FOR TAT,The Hero is Overpowered but Overly Cautious,MYTH & ROID,,2019,Anime,
000149,,F Major,74,forget-me-not,Sword Art Online: Alicization,ReoNa,,2019,Anime,
000150,,C# Major,77,Zero Centimeters,Teasing Master Takagi-san: Season 2,Yuiko Ohara,,2019,Anime,
000151,,D# Major,78,FAITH,The Rising of the Shield Hero: Season 2,MADKID,,2019,Anime,
000152,,E Major,86,Otome domo yo,Kaguya-sama: Love is War,CHiCO with HoneyWorks,,2019,Anime,
000153,,A Major,77,Chime,Fruits Basket (2019),Ai Otsuka,,2019,Anime,
000154,,F# Major,80,HELLO to DREAM,Is It Wrong to Try to Pick Up Girls in a Dungeon?: Season 2,Yuka Iguchi,,2019,Anime,
000155,,C# Major,86.5,Meguru Mono,That Time I Got Reincarnated as a Slime,Takuma Terashima,,2019,Anime,
000156,,D Major,82.5,RISE,The Rising of the Shield Hero,MADKID,,2019,Anime,
000157,,E Major,73,Grand Escape,Weathering With You,RADWIMPS,,2019,Anime,
000158,,D Major,85,Kaen,Dororo,Ziyoou-vachi,,2019,Anime,
000159,"Intro, Verse, Chorus","A Major, C Major, A Major","78, 83.5, 83.5",Sentimental Crisis,Kaguya-sama: Love is War,halca,,2019,Anime,
000160,,G# Major,85,Isekai Girls Talk,Isekai Quartet,"Yumi Hara, Sora Amamiya, Rie Takahashi, Aoi Yuuki",,2019,Anime,
000161,,D Major,71.5,Zettai Zetsumei,The Promised Neverland,Co shu Nie,,2019,Anime,
000162,,G Major,70,Houkago no Liberty,We Never Learn,halca,,2019,Anime,
000163,,D# Major,77,Bon Kyu Bon wa Kare no Mono,"Why the Hell are you Here, Teacher?! ",Sumire Uesaka,,2019,Anime,
000164,"Intro, Verse, Chorus","E Major, C# Major, E Major","72, 72, 72",Little Soldier,That Time I Got Reincarnated as a Slime,Azusa Tadokoro,,2019,Anime,
000165,,A# Major,82,FLARE,Arifureta: From Commonplace to World's Strongest,Void_Chords feat. LIO,,2019,Anime,
000166,"Verse, Chorus","C Major, F# Major","91, 91",Broken Sky,Talentless Nana,Miyu Tomita,Fall,2020,Anime,
000167,,B Major,123,Shinkai,"Josee, the Tiger and the Fish",Eve,Fall,2020,Anime,
000168,,A Major,90,SPARK-AGAIN,Fire Force: Season 2,Aimer,Summer,2020,Anime,
000169,,E Major,134,Star Marker,My Hero Academia: Season 4,KANA-BOON,Winter,2020,Anime,
000170,,D Major,80,Tomoshibi no Manimani,Kakuriyo: Bed & Breakfast for Spirits,Nao Toyama,Spring,2018,Anime,
000171,"Verse, Chorus","C# Major, C Major","122, 122",LOST IN PARADISE,Jujutsu Kaisen,ALI,Fall,2020,Anime,
000172,"Verse, Chorus","C Major, G Major","92.5, 92.5",Kokuhaku Bungee Jump,Rent-a-Girlfriend,halca,Summer,2020,Anime,
000173,"Verse, Chorus","E Major, F# Major","76, 76",Kyuukyoku Unbalance,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.",Afilia Saga,Winter,2020,Anime,
000174,,E Major,138,FIRST DROP,Rent-a-Girlfriend,halca,Summer,2020,Anime,
000175,"Intro, Verse, Chorus","A# Major, C Major, A# Major","80, 80, 80",WAKE UP HxEROS,SUPER HXEROS,"BURNOUT SYNDROMES, Yoshitsugu Matsuoka",Summer,2020,Anime,
000176,"Verse, Chorus","D# Major, C Major","95, 95",Torch of Liberty,Fire Force: Season 2,KANA-BOON,Summer,2020,Anime,
000177,,F Major,82,Plunderer,Plunderer,Miku Itou,Winter,2020,Anime,
000178,,E Major,95,Desire,Fire Force: Season 2,PELICAN FANCLUB,Summer,2020,Anime,
000179,,C# Major,124,BREAKING DAWN,Noblesse,Jae Joong,Fall,2020,Anime,
000180,,F# Major,91,Megumi no Ame,My Teen Romantic Comedy SNAFU Climax!,nagi yanagi,Summer,2020,Anime,
000181,"Verse, Chorus","C Major, G Major","85, 85",Tiny Light,Toilet-Bound Hanako-kun,Akari Kito,Winter,2020,Anime,
000182,,D Major,96,A Walk,Black Clover,Gakuto Kajiwara,Summer,2020,Anime,
000183,"Verse, Chorus, Bridge, Chorus 2","D Major, E Major, E Major, G Major","76, 76, 76, 76",homura,Demon Slayer: Kimetsu no Yaiba: The Movie: Mugen Train,LiSA,Fall,2020,Anime,
000184,,E Major,88,Crossing Road,Food Wars! The Fifth Plate,Mai Fuchigami,Spring,2020,Anime,
000185,,D# Major,87,Isekai Showtime,Isekai Quartet 2,Isekai Quartet,Winter,2020,Anime,
000186,"Intro, Verse, Prechorus A, Prechorus B, Chorus","C# Major, E Major, E Major, G# Major, G# Major","88, 88, 88, 88, 88",Kimi To Iu Shinhwa,The Day I Became a God,"Jun Maeda, nagi yanagi",Fall,2020,Anime,
000187,,D# Major,84,Kaze Fukeba Tsukiyo no Hate ni,Tsugu Tsugumomo,AOP,Spring,2020,Anime,
000188,,D Major,81,Kago no Naka ni Tori,"Sing ""Yesterday"" for Me",yourness,Spring,2020,Anime,
000189,,D Major,70,Centimeter,Rent-a-Girlfriend,the peggies,Summer,2020,Anime,
000190,,F Major,73.5,Ready To,BNA: Brand New Animal,Sumire Morohoshi,Spring,2020,Anime,
000191,,D# Major,87.5,NEW ERA,Yashahime: Princess Half-Demon,SixTONES,Fall,2020,Anime,
000192,"Intro, Verse, Chorus, Bridge","F# Major, F# Major, F Major, F# Major","124, 124, 124, 124",Nakayoshi! ○! Nakayoshi!,Is the Order a Rabbit? Bloom,Chimame-tai,Fall,2020,Anime,
000193,,A Major,129,Kimi ni Aeta Hi,Adachi and Shimamura,"Akari Kito, Miku Ito",Fall,2020,Anime,
000194,,A Major,80,Diamond Clarity,My Teen Romantic Comedy SNAFU Climax!,"Saori Hayami, Nao Toyama",Summer,2020,Anime,
000195,,G# Major,83,PARADOX,"Science Fell in Love, So I Tried to Prove It",Sora Amamiya,Winter,2020,Anime,
000196,,D# Major,85,DREAMIN' ON,One Piece,Da-iCE,Winter,2020,Anime,
000197,,D Major,75,Magic Words,Hatena Illusion,Liyuu,Winter,2020,Anime,
000198,"Verse, Chorus, Last Chorus","D# Major, D# Major, E Major","97.5, 97.5, 97.5",Hero Too,My Hero Academia: Season 4,Chrissy Costanza,Winter,2020,Anime,
000199,,E Major,73,Against.,Our Last Crusade or the Rise of a New World,Kaori Ishihara,Fall,2020,Anime,
000200,,B Major,77,Tenkuu Cafeteria,Is the Order a Rabbit? Bloom,Petit Rabbit's,Fall,2020,Anime,
000201,,A# Major,92.5,Kaikai Kitan,Kaikai Kitan,Eve,Fall,2020,Anime,
000202,,B Major,138,DADDY! DADDY! DO!,Kaguya-sama: Love is War: Season 2,"Masayuki Suzuki, Airi Suzuki",Spring,2020,Anime,
000203,,C Major,125,Memento,Re:ZERO: Starting Life in Another World: Season 2,nonoc,Summer,2020,Anime,
000204,,G Major,90,Nijiiro Passions!,Love Live! Nijigasaki High School Idol Club,Nijigasaki School Idol Club,Fall,2020,Anime,
000205,,A Major,80,SLUMP,Tower of God,Stray Kids,Spring,2020,Anime,
000206,,G Major,71,Turing Love,"Science Fell in Love, So I Tried to Prove It","Akari Nanawo, Sou",Winter,2020,Anime,
000207,,F# Major,70.5,Let’s Go To Paradise,Interspecies Reviewers,"Yuusuke Kobayashi, Junji Majima, Miyu Tomita",Winter,2020,Anime,
000208,"Verse, Chorus, Bridge","D Major, D Major, B Major","125, 125, 125",ID,Fire Force: Season 2,CIDERGIRL,Summer,2020,Anime,
000209,,C# Major,97.5,Tsuki to Hoshizora,Tonikaku Kawaii,"Yunomi, Tsukasa Yuzuki",Fall,2020,Anime,
000210,"Verse, Chorus","E Major, G Major","88, 88",I will…,Sword Art Online: Alicization: War of Underworld: Part 2,Eir Aoi,Summer,2020,Anime,
000211,,G# Major,110,Anti world,I'm Standing on a Million Lives,Kanako Takatsuki,Fall,2020,Anime,
000212,"Verse, Prechorus, Chorus","E Major, G Major, E Major","101.5, 101.5, 101.5",DiViNE,Blue Reflection Ray,EXiNA,Spring,2021,Anime,
000213,,G Major,130,Onnaji Kimochi.,Restaurant to Another World 2,Kiyono Yasuno,Fall,2021,Anime,
000214,,C Major,89,Wanna Fly?,World Witches Take Off!,Yoko Ishida,Winter,2021,Anime,
000215,"Intro, Verse, Chorus, Bridge","A# Major, G Major, C Major, D# Major","138, 138, 138, 138",Jinsei Easy?,Bottom-Tier Character Tomozaki,DIALOGUE+,Winter,2021,Anime,
000216,,A# Major,87.5,Like Flames,That Time I Got Reincarnated as a Slime: Season 2: Part 2,MindaRyn,Summer,2021,Anime,
000217,,C# Major,100,give it back,Jujutsu Kaisen,Co shu Nie,Winter,2021,Anime,
000218,,D Major,93.5,Kyoukaisen,86 Part 2,amazarashi,Fall,2021,Anime,
000219,,D Major,72,SHAKE! SHAKE! SHAKE!,Dr. Ramune: Mysterious Disease Specialist,Yuuma Uchida,Winter,2021,Anime,
000220,"Verse, Chorus, Last Chorus","E Major, E Major, F Major","90, 90, 90",Yuke,Sword Art Online the Movie: Progressive: Aria of a Starless Night,LiSA,,2021,Anime,
000221,,C# Major,91,Kokoro Hayaru,Drug Store in Another World: The Slow Life of a Cheat Pharmacist,Akane Kumada,Summer,2021,Anime,
000222,,C# Major,90,Only one yell,Selection Project,9-tie,Fall,2021,Anime,
000223,,F Major,90,ODDTAXI,Odd Taxi,"PUNPEE, Skirt",Spring,2021,Anime,
000224,,F Major,70,Shirushibi,The Faraway Paladin,nagi yanagi,Fall,2021,Anime,
000225,,D# Major,85,Otogibanashi no Youna Kiseki,Deiji Meets Girl,Aoi Kubo,Fall,2021,Anime,
000226,"Verse, Prechorus A, Prechorus B, Chorus, Bridge","B Major, B Major, G Major, A Major, A Major","93, 93, 93, 93, 93",Zankoku na Yume to Nemure,Redo of Healer,Minami Kuribayashi,Winter,2021,Anime,
000227,,D Major,136,freeze,Seven Knights Revolution: Hero Successor,flumpool,Spring,2021,Anime,
000228,,D# Major,100,Mahi,2.43: Seiin High School Boys Volleyball Team,yama,Winter,2021,Anime,
000229,,G Major,93,Rinne,Muv-Luv Alternative,V.W.P,Fall,2021,Anime,
000230,"Verse, Chorus","B Major,  C Major","120.67, 120.67",takt,takt op.Destiny,Mafumafu,Fall,2021,Anime,
000231,,G# Major,128,Grandeur,Black Clover,Snow Man,Winter,2021,Anime,
000232,"Verse, Prechorus, Chorus","A Major, G Major, F# Major","87.5, 87.5, 87.5",Susume! Mujina Company,Cute Executive Officer,"Hisako Kanemoto, Rina Hidaka, Sumire Uesaka",Winter,2021,Anime,
000233,,C Major,89,STACKiNG,Kingdom: Season 3,BiSH,Fall,2021,Anime,
