ID,TITLE,BPM,KEY,PART,ARTIST,TYPE,ORIGIN,YEAR,SEASON
1768,Zero Centimeters,77,C# Major,,Yuiko Ohara,Anime,Teasing Master Takagi-san: Season 2,2019,
1773,cure,107.5,B Major,,,Anime,,2024,
1780,Tsumujikaze,99.3333,D Major,,,Anime,,,
1783,Analogy,136,D# Major,,,Anime,,2021,
1794,I Really Want To Stay,125,F# Major,,,Anime,,2022,
1795,The Everlasting Guilty,86,D Major,,EGOIST,Anime,Guilty Crown,2011,
1796,Kodoku no Saibou,144,E Major,,,Anime,,2023,
1798,Platinum 17,79.5,D# Major,,yozuca*,Anime,"So, I Can't Play H!",2012,
1814,99.9,84,F# Major,,MOB CHOIR feat. sajou no hana,Anime,Mob Psycho 100 II,2016,
1815,Seishun Complex,95,F Major,,,Anime,,2022,
1817,SHIORI,88,D Major,,,Anime,,,
1819,Deep down,79,G# Major,,,Anime,,2022,
1822,dawn of infinity,71.5,G# Major,,,Anime,,2022,
1823,Glorious Days,115.5,D Major,,,Anime,,2021,
1832,Colorful Dreams! CS!,92.5,A Major,,,Anime,,2022,
1834,Kurenazumu Yakuso,94,A# Major,,,Anime,,2022,
1838,Be My Friend!!!,72.5,A Major,,,Anime,,2022,
1842,A Walk,96,D Major,,,Anime,,2020,
1845,Oath,99,E Major,,,Anime,,2022,
1852,BUCCHIGIRE!,100,F Major,,,Anime,,2022,
1855,VOICE,92,G Major,,,Anime,,,
1857,Abracada-Boo,76,D Major,,,Anime,,2022,
1865,Different,105,G Major,,,Anime,,2021,
1882,Follow your arrows,88,G Major,,,Anime,,2024,
1883,Over Scientific!,128,D# Major,,,Anime,,2024,
1885,Watashi ga Warau,83,C# Major,,,Anime,,2023,
1889,Kyunrious,81.5,E Major,,,Anime,,2024,
1892,homura,76,D Major,,,Anime,,2020,
1898,Suki no Skill,128,D Major,,,Anime,,,
1901,SOMEONE ELSE,116.5,B Major,,,Anime,,,
1906,Koi no Yukue,70,F# Major,,,Anime,,2022,
1913,Nemophila,106,D# Major,,,Anime,,2021,
1920,Sen no Tsubasa,85,F# Major,,livetune adding Takuro Sugawara (from 9mm Parabellum Bullet),Anime,Re:Hamatora,2017,
1921,Nascent Sacrifice,140,C Major,,,Anime,,2023,
1923,Nimensei☆Uraomote,85,G Major,,Aimi Tanaka,Anime,Himouto! Umaru-chan: 2nd Season,2017,
1926,FAKEit,96,F# Major,,,Anime,,2023,
1928,Mixed Nuts,75,F# Major,,,Anime,,2022,
1929,Cobalt no Kodou,93.5,A# Major,,,Anime,,2021,
1932,Lover's Eye,85,G# Major,,,Anime,,2024,
1933,Unbeatable,102,G# Major,,,Anime,,2024,
1938,Kamisama Hajime,73,D Major,,Hanae,Anime,Kamisama Kiss,2012,
1948,SPARKLE,91,C Major,,,Anime,,2022,
1951,Annoying! Sunsun,70,F# Major,,,Anime,,2021,
1952,Beautiful Day,100,E Major,,,Anime,,2021,
1957,Kimi no Sei,86,C# Major,,,Anime,,2024,
1961,Tomorrow,134,F Major,,,Anime,,,
1966,Crossing Road,88,E Major,,,Anime,,2020,
1967,Hikari to Kaze,135,E Major,,,Anime,,2023,
1968,Catch The Moment,95,G Major,,,Anime,,,
1969,Paradox,96,D Major,,,Anime,,2023,
1973,Hazard Symbol,78,A# Major,,,Anime,,2024,
1974,Beyond Selves,124,F Major,,,Anime,,2022,
1981,MOTIVE RAIN,100,D# Major,,,Anime,,2023,
1984,Isekai Showtime,87,D# Major,,,Anime,,2020,
1989,Gotoubun no Kimochi,87.5,E Major,,,Anime,,,
1990,Akatsuki no Hana,70,D# Major,,Cyntia,Anime,Yona of the Dawn,2015,
1993,CATASTROPHE,108,G Major,,,Anime,,2022,
1995,OveR,99,F Major,,,Anime,,2022,
1997,Happy Encount,137,F# Major,,,Anime,,2022,
1999,May I Help You?,75,F# Major,,"Ai Kayano, Mai Nakahara, Aki Toyosaki",Anime,Servant x Service,2013,
